starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 03 16:31:48 2023	1677857508	0	124	124	123
Fri Mar 03 16:31:44 2023	1677857504	0	124	124	124
Fri Mar 03 16:31:45 2023	1677857505	0	124	125	90
Fri Mar 03 16:31:47 2023	1677857507	0	125	125	124
Fri Mar 03 16:31:44 2023	1677857504	0	125	125	125
Fri Mar 03 16:31:43 2023	1677857503	0	126	126	125
Fri Mar 03 16:31:45 2023	1677857505	0	126	126	125
Fri Mar 03 16:31:46 2023	1677857506	0	126	126	125
Fri Mar 03 16:31:44 2023	1677857504	0	126	126	125
Fri Mar 03 16:31:41 2023	1677857501	0	127	127	126
Fri Mar 03 16:31:45 2023	1677857505	0	127	127	126
Fri Mar 03 16:31:45 2023	1677857505	0	127	127	126
Fri Mar 03 16:31:47 2023	1677857507	0	127	127	126
Fri Mar 03 16:31:48 2023	1677857508	0	127	127	126
Fri Mar 03 16:31:42 2023	1677857502	0	127	127	127
Fri Mar 03 16:31:43 2023	1677857503	0	127	127	127
Fri Mar 03 16:31:48 2023	1677857508	0	127	128	127
Fri Mar 03 16:31:45 2023	1677857505	0	128	128	127
Fri Mar 03 16:31:45 2023	1677857505	0	128	128	50
Fri Mar 03 16:31:47 2023	1677857507	0	128	128	128
Fri Mar 03 16:31:46 2023	1677857506	0	128	128	128
Fri Mar 03 16:31:42 2023	1677857502	0	129	129	114
Fri Mar 03 16:31:46 2023	1677857506	0	129	129	128
Fri Mar 03 16:31:45 2023	1677857505	0	129	129	129
Fri Mar 03 16:31:46 2023	1677857506	0	130	130	129
Fri Mar 03 16:31:43 2023	1677857503	0	130	130	129
Fri Mar 03 16:31:43 2023	1677857503	0	131	131	130
Fri Mar 03 16:31:45 2023	1677857505	0	131	131	131
Fri Mar 03 16:31:43 2023	1677857503	0	131	131	131
Fri Mar 03 16:31:45 2023	1677857505	0	131	131	131
Fri Mar 03 16:31:45 2023	1677857505	0	132	132	131
Fri Mar 03 16:31:46 2023	1677857506	0	132	132	131
Fri Mar 03 16:31:47 2023	1677857507	0	132	132	113
Fri Mar 03 16:31:45 2023	1677857505	0	132	132	132
Fri Mar 03 16:31:48 2023	1677857508	0	133	133	132
Fri Mar 03 16:31:48 2023	1677857508	0	133	133	132
Fri Mar 03 16:31:46 2023	1677857506	0	133	133	133
Fri Mar 03 16:31:48 2023	1677857508	0	133	133	133
Fri Mar 03 16:31:42 2023	1677857502	0	134	134	111
Fri Mar 03 16:31:47 2023	1677857507	0	134	134	134
Fri Mar 03 16:31:45 2023	1677857505	0	134	134	134
Fri Mar 03 16:31:44 2023	1677857504	0	135	135	133
Fri Mar 03 16:31:44 2023	1677857504	0	135	135	135
Fri Mar 03 16:31:45 2023	1677857505	0	136	136	135
Fri Mar 03 16:31:48 2023	1677857508	0	136	136	135
Fri Mar 03 16:31:47 2023	1677857507	0	136	136	130
Fri Mar 03 16:31:45 2023	1677857505	0	137	137	132
Fri Mar 03 16:31:45 2023	1677857505	0	137	137	86
Fri Mar 03 16:31:44 2023	1677857504	0	137	137	137
Fri Mar 03 16:31:44 2023	1677857504	0	137	137	116
Fri Mar 03 16:31:45 2023	1677857505	0	137	137	132
Fri Mar 03 16:31:42 2023	1677857502	0	138	138	137
