starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 03 16:29:48 2023	1677857388	0	33	33	32
Fri Mar 03 16:29:48 2023	1677857388	0	33	33	22
Fri Mar 03 16:29:48 2023	1677857388	0	33	33	33
Fri Mar 03 16:29:55 2023	1677857395	0	33	33	33
Fri Mar 03 16:29:48 2023	1677857388	0	34	34	33
Fri Mar 03 16:29:51 2023	1677857391	0	34	34	33
Fri Mar 03 16:29:53 2023	1677857393	0	34	34	33
Fri Mar 03 16:29:52 2023	1677857392	0	34	34	33
Fri Mar 03 16:29:54 2023	1677857394	0	34	34	30
Fri Mar 03 16:29:52 2023	1677857392	0	34	34	33
Fri Mar 03 16:29:55 2023	1677857395	0	34	34	33
Fri Mar 03 16:29:54 2023	1677857394	0	34	34	33
Fri Mar 03 16:29:55 2023	1677857395	0	34	34	34
Fri Mar 03 16:29:54 2023	1677857394	0	34	35	33
Fri Mar 03 16:29:51 2023	1677857391	0	35	35	34
Fri Mar 03 16:29:54 2023	1677857394	0	35	35	34
Fri Mar 03 16:29:55 2023	1677857395	0	35	35	35
Fri Mar 03 16:29:51 2023	1677857391	0	35	35	34
Fri Mar 03 16:29:52 2023	1677857392	0	35	35	35
Fri Mar 03 16:29:51 2023	1677857391	0	35	35	35
Fri Mar 03 16:29:52 2023	1677857392	0	35	35	30
Fri Mar 03 16:29:55 2023	1677857395	0	35	35	35
Fri Mar 03 16:29:54 2023	1677857394	0	35	35	24
Fri Mar 03 16:29:55 2023	1677857395	0	35	35	35
Fri Mar 03 16:29:51 2023	1677857391	0	35	35	35
Fri Mar 03 16:29:55 2023	1677857395	0	36	36	35
Fri Mar 03 16:29:51 2023	1677857391	0	36	36	35
Fri Mar 03 16:29:53 2023	1677857393	0	36	36	32
Fri Mar 03 16:29:49 2023	1677857389	0	36	36	36
Fri Mar 03 16:29:50 2023	1677857390	0	36	36	36
Fri Mar 03 16:29:55 2023	1677857395	0	37	37	36
Fri Mar 03 16:29:51 2023	1677857391	0	37	37	37
Fri Mar 03 16:29:51 2023	1677857391	0	37	37	36
Fri Mar 03 16:29:51 2023	1677857391	0	37	37	36
Fri Mar 03 16:29:54 2023	1677857394	0	37	37	31
Fri Mar 03 16:29:50 2023	1677857390	0	37	37	36
Fri Mar 03 16:29:54 2023	1677857394	0	37	37	37
Fri Mar 03 16:29:50 2023	1677857390	0	37	37	37
Fri Mar 03 16:29:55 2023	1677857395	0	37	37	36
Fri Mar 03 16:29:51 2023	1677857391	0	38	38	37
Fri Mar 03 16:29:50 2023	1677857390	0	37	38	37
Fri Mar 03 16:29:55 2023	1677857395	0	38	38	37
Fri Mar 03 16:29:48 2023	1677857388	0	38	38	37
Fri Mar 03 16:29:48 2023	1677857388	0	39	39	38
Fri Mar 03 16:29:48 2023	1677857388	0	39	39	38
Fri Mar 03 16:29:52 2023	1677857392	0	39	39	31
Fri Mar 03 16:29:51 2023	1677857391	0	39	39	38
Fri Mar 03 16:29:53 2023	1677857393	0	39	39	38
Fri Mar 03 16:29:48 2023	1677857388	0	39	39	28
Fri Mar 03 16:29:51 2023	1677857391	0	40	40	39
Fri Mar 03 16:29:48 2023	1677857388	0	40	40	39
Fri Mar 03 16:29:51 2023	1677857391	0	40	40	39
Fri Mar 03 16:29:53 2023	1677857393	0	40	40	38
Fri Mar 03 16:29:50 2023	1677857390	0	40	40	25
Fri Mar 03 16:29:52 2023	1677857392	0	40	40	40
Fri Mar 03 16:29:49 2023	1677857389	0	40	41	40
Fri Mar 03 16:29:52 2023	1677857392	0	41	41	35
Fri Mar 03 16:29:53 2023	1677857393	0	41	41	40
Fri Mar 03 16:29:55 2023	1677857395	0	41	41	40
Fri Mar 03 16:29:52 2023	1677857392	0	41	41	40
Fri Mar 03 16:29:48 2023	1677857388	0	41	41	40
Fri Mar 03 16:29:54 2023	1677857394	0	41	41	40
Fri Mar 03 16:29:51 2023	1677857391	0	41	41	40
Fri Mar 03 16:29:48 2023	1677857388	0	41	41	38
Fri Mar 03 16:29:51 2023	1677857391	0	41	41	41
Fri Mar 03 16:29:53 2023	1677857393	0	41	41	41
Fri Mar 03 16:29:55 2023	1677857395	0	41	41	41
Fri Mar 03 16:29:51 2023	1677857391	0	42	42	41
Fri Mar 03 16:29:53 2023	1677857393	0	42	42	42
Fri Mar 03 16:29:55 2023	1677857395	0	42	42	41
Fri Mar 03 16:29:55 2023	1677857395	0	42	42	42
Fri Mar 03 16:29:54 2023	1677857394	0	42	42	42
Fri Mar 03 16:29:55 2023	1677857395	0	42	42	42
Fri Mar 03 16:29:52 2023	1677857392	0	42	43	42
Fri Mar 03 16:29:52 2023	1677857392	0	42	43	35
Fri Mar 03 16:29:51 2023	1677857391	0	43	43	42
Fri Mar 03 16:29:51 2023	1677857391	0	43	43	42
Fri Mar 03 16:29:48 2023	1677857388	0	43	43	42
Fri Mar 03 16:29:53 2023	1677857393	0	43	43	42
Fri Mar 03 16:29:53 2023	1677857393	0	43	43	42
Fri Mar 03 16:29:51 2023	1677857391	0	43	43	43
Fri Mar 03 16:29:53 2023	1677857393	0	43	43	43
Fri Mar 03 16:29:53 2023	1677857393	0	43	44	43
Fri Mar 03 16:29:53 2023	1677857393	0	44	44	43
Fri Mar 03 16:29:54 2023	1677857394	0	44	44	43
Fri Mar 03 16:29:53 2023	1677857393	0	44	44	41
Fri Mar 03 16:29:49 2023	1677857389	0	44	44	31
Fri Mar 03 16:29:55 2023	1677857395	0	44	44	44
Fri Mar 03 16:29:55 2023	1677857395	0	44	44	42
Fri Mar 03 16:29:54 2023	1677857394	0	44	44	44
Fri Mar 03 16:29:49 2023	1677857389	0	44	45	33
Fri Mar 03 16:29:53 2023	1677857393	0	45	45	44
Fri Mar 03 16:29:51 2023	1677857391	0	45	45	44
Fri Mar 03 16:29:54 2023	1677857394	0	45	45	44
Fri Mar 03 16:29:49 2023	1677857389	0	45	45	37
Fri Mar 03 16:29:55 2023	1677857395	0	45	45	44
Fri Mar 03 16:29:51 2023	1677857391	0	45	45	45
Fri Mar 03 16:29:55 2023	1677857395	0	45	46	45
Fri Mar 03 16:29:51 2023	1677857391	0	46	46	45
Fri Mar 03 16:29:52 2023	1677857392	0	46	46	45
Fri Mar 03 16:29:55 2023	1677857395	0	46	46	45
Fri Mar 03 16:29:51 2023	1677857391	0	46	46	45
Fri Mar 03 16:29:53 2023	1677857393	0	46	46	46
Fri Mar 03 16:29:55 2023	1677857395	0	46	46	46
Fri Mar 03 16:29:49 2023	1677857389	1	45	46	34
Fri Mar 03 16:29:52 2023	1677857392	0	46	46	46
Fri Mar 03 16:29:51 2023	1677857391	0	46	47	46
Fri Mar 03 16:29:52 2023	1677857392	0	47	47	46
Fri Mar 03 16:29:47 2023	1677857387	5	42	47	41
Fri Mar 03 16:29:52 2023	1677857392	0	47	47	45
Fri Mar 03 16:29:54 2023	1677857394	0	47	47	45
Fri Mar 03 16:29:53 2023	1677857393	0	47	47	47
Fri Mar 03 16:29:54 2023	1677857394	0	47	47	30
Fri Mar 03 16:29:55 2023	1677857395	0	48	48	47
Fri Mar 03 16:29:55 2023	1677857395	0	48	48	47
Fri Mar 03 16:29:54 2023	1677857394	0	48	48	47
Fri Mar 03 16:29:54 2023	1677857394	0	48	48	47
Fri Mar 03 16:29:50 2023	1677857390	0	48	48	48
Fri Mar 03 16:29:50 2023	1677857390	0	48	48	48
Fri Mar 03 16:29:51 2023	1677857391	0	48	48	48
Fri Mar 03 16:29:52 2023	1677857392	0	48	48	45
Fri Mar 03 16:29:55 2023	1677857395	0	49	49	49
Fri Mar 03 16:29:52 2023	1677857392	0	49	49	49
Fri Mar 03 16:29:53 2023	1677857393	0	50	50	49
Fri Mar 03 16:29:53 2023	1677857393	0	50	50	49
Fri Mar 03 16:29:54 2023	1677857394	0	50	50	29
Fri Mar 03 16:29:52 2023	1677857392	0	50	50	50
Fri Mar 03 16:29:52 2023	1677857392	0	50	50	49
Fri Mar 03 16:29:55 2023	1677857395	0	50	50	50
Fri Mar 03 16:29:51 2023	1677857391	0	50	50	50
Fri Mar 03 16:29:53 2023	1677857393	0	50	50	50
Fri Mar 03 16:29:51 2023	1677857391	0	51	51	50
Fri Mar 03 16:29:51 2023	1677857391	0	51	51	50
Fri Mar 03 16:29:48 2023	1677857388	0	51	51	51
Fri Mar 03 16:29:48 2023	1677857388	0	51	51	51
Fri Mar 03 16:29:55 2023	1677857395	0	51	51	51
Fri Mar 03 16:29:53 2023	1677857393	0	51	51	51
